ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,shares_out,avg_d_shares
GE,GE,GENL ELECTRIC,12,Q,2013-03-31,Y,10398.27,10433.0
GE,GE,GENL ELECTRIC,12,Q,2012-12-31,Y,10486.3,10500.0
GE,GE,GENL ELECTRIC,12,Q,2012-09-30,Y,10558.84,10568.0
GE,GE,GENL ELECTRIC,12,Q,2012-06-30,Y,10587.32,10611.0
GE,GE,GENL ELECTRIC,12,Q,2012-03-31,Y,10581.26,10611.0
GE,GE,GENL ELECTRIC,12,Q,2011-12-31,Y,10557.35,10566.0
GE,GE,GENL ELECTRIC,12,Q,2011-09-30,Y,10600.34,10607.0
GE,GE,GENL ELECTRIC,12,Q,2011-06-30,Y,10605.45,10604.0
GE,GE,GENL ELECTRIC,12,Q,2011-03-31,Y,10618.49,10641.0
GS,GS&,GOLDMAN SACHS,12,Q,2017-09-30,Y,386.88,405.7
GS,GS&,GOLDMAN SACHS,12,Q,2017-06-30,Y,393.63,413.3
GS,GS&,GOLDMAN SACHS,12,Q,2017-03-31,Y,397.79,420.1
GS,GS&,GOLDMAN SACHS,12,Q,2016-12-31,Y,397.65,423.5
GS,GS&,GOLDMAN SACHS,12,Q,2016-09-30,Y,405.46,430.2
GS,GS&,GOLDMAN SACHS,12,Q,2016-06-30,Y,415.39,439.2
GS,GS&,GOLDMAN SACHS,12,Q,2016-03-31,Y,418.76,447.4
GS,GS&,GOLDMAN SACHS,12,Q,2015-12-31,Y,426.54,451.9
GS,GS&,GOLDMAN SACHS,12,Q,2015-09-30,Y,432.87,458.6
GS,GS&,GOLDMAN SACHS,12,Q,2015-06-30,Y,432.02,461.6
GS,GS&,GOLDMAN SACHS,12,Q,2015-03-31,Y,450.9,462.9
GS,GS&,GOLDMAN SACHS,12,Q,2014-12-31,Y,435.55,463.4
GS,GS&,GOLDMAN SACHS,12,Q,2014-09-30,Y,452.8,469.2
GS,GS&,GOLDMAN SACHS,12,Q,2014-06-30,Y,447.18,475.9
GS,GS&,GOLDMAN SACHS,12,Q,2014-03-31,Y,452.75,484.6
