action_type,m_ticker,status,per_end_month_nbr,comp_name,ticker,change_txt,ex_date,proc_date
6,MRK,1,12,MERCK & CO INC,MRK,3,5/26/1992,5/26/1992
6,DIS,1,9,DISNEY WALT,DIS,4,5/18/1992,5/18/1992
6,KO,1,12,COCA COLA CO,KO,2,5/12/1992,5/12/1992
5,SPM,1,12,ST PAUL COS INC,SPK,SPC,,5/7/1992
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,3/23/1992,3/23/1992
5,SPM,1,12,ST PAUL COS INC,STPL,SPK,,11/8/1991
5,UNIH,1,12,UTD HEALTHCARE,UNIH,UNH,,10/10/1991
6,MSFT,1,6,MICROSOFT CORP,MSFT,1.5,6/27/1991,6/27/1991
6,HOMD,1,1,HOME DEPOT,HD,1.5,6/26/1991,6/26/1991
6,PFE,1,12,PFIZER INC,PFE,2,4/1/1991,4/1/1991
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,3/18/1991,3/18/1991
5,NIKE,1,5,NIKE INC-B,NIKE,NKE,,10/18/1990
6,NIKE,1,5,NIKE INC-B,NIKE,2,10/9/1990,10/9/1990
6,WMS,1,1,WAL-MART STORES,WMT,2,7/9/1990,7/9/1990
6,HOMD,1,1,HOME DEPOT,HD,1.5,7/6/1990,7/6/1990
6,BA,1,12,BOEING CO,BA,1.5,6/11/1990,6/11/1990
6,KO,1,12,COCA COLA CO,KO,2,5/14/1990,5/14/1990
6,BEL,1,12,BELL ATLANTIC,BEL,2,5/2/1990,5/2/1990
3,CSCO,1,12,CISCO SYSTEMS,CSCO,7,,4/19/1990
6,MSFT,1,6,MICROSOFT CORP,MSFT,2,4/16/1990,4/16/1990
1,CSCO,1,12,CISCO SYSTEMS,CSCO,,,3/28/1990
6,DD,1,12,DU PONT E I DE,DD,3,1/22/1990,1/22/1990
6,PG,1,6,PROCTER & GAMBL,PG,2,11/20/1989,11/20/1989
6,HOMD,1,1,HOME DEPOT,HD,1.5,7/3/1989,7/5/1989
6,MCD,1,12,MCDONALDS CORP,MCD,2,6/19/1989,6/19/1989
6,BA,1,12,BOEING CO,BA,1.5,6/12/1989,6/12/1989
6,JNJ,1,12,JOHNSON & JOHNS,JNJ,2,5/11/1989,5/11/1989
6,MRK,1,,MERCK & CO,MRK,3,5/26/1988,5/27/1988
4,CHL,1,,CHEMICAL NY CP,CHL,CHEMICAL BANKNG,,5/5/1988
6,ITL,1,,INTEL CORP,INTC,1.5,10/29/1987,10/30/1987
6,HOMD,1,,HOME DEPOT,HD,1.5,9/22/1987,9/25/1987
6,MSFT,1,,MICROSOFT INC,MSFT,2,9/21/1987,9/25/1987
6,J,1,,EXXON CORP,XON,2,9/15/1987,9/18/1987
6,WMS,1,,WAL-MART STORES,WMT,2,7/13/1987,7/17/1987
6,MCD,1,,MCDONALDS,MCD,1.5,6/23/1987,6/26/1987
6,AAPL,1,9,APPLE COMPUTER,AAPL,2,6/16/1987,6/19/1987
6,MMM,1,,MINNESOTA MIN,MMM,2,6/16/1987,6/19/1987
6,GE,1,,GENERAL ELEC CO,GE,2,5/26/1987,5/29/1987
6,AXP,1,,AM EXPRESS,AXP,2,5/11/1987,5/15/1987
