ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,mkt_val,ep_val
PFE,PFE,PFIZER INC,12,Q,2014-06-30,Y,189090.98,187334.98
PFE,PFE,PFIZER INC,12,Q,2014-03-31,Y,204884.41,198684.41
PFE,PFE,PFIZER INC,12,Q,2013-12-31,Y,198515.2,196602.2
PFE,PFE,PFIZER INC,12,Q,2013-09-30,Y,190168.13,188336.13
PFE,PFE,PFIZER INC,12,Q,2013-06-30,Y,198681.19,196538.19
PFE,PFE,PFIZER INC,12,Q,2013-03-31,Y,207377.7,203550.7
PFE,PFE,PFIZER INC,12,Q,2012-12-31,Y,184648.2,183015.2
PFE,PFE,PFIZER INC,12,Q,2012-09-30,Y,185616.69,193772.69
PFE,PFE,PFIZER INC,12,Q,2012-06-30,Y,172227.14,178831.14
PFE,PFE,PFIZER INC,12,Q,2012-03-31,Y,170685.13,180299.13
PFE,PFE,PFIZER INC,12,Q,2011-12-31,Y,166345.97,174558.97
PFE,PFE,PFIZER INC,12,Q,2011-09-30,Y,137941.61,144423.61
PFE,PFE,PFIZER INC,12,Q,2011-06-30,Y,162763.28,173049.28
PFE,PFE,PFIZER INC,12,Q,2011-03-31,Y,162301.52,173649.52
PG,PG,PROCTER & GAMBL,6,Q,2017-09-30,Y,230812.45,235984.45
PG,PG,PROCTER & GAMBL,6,Q,2017-06-30,Y,222896.06,230812.06
PG,PG,PROCTER & GAMBL,6,Q,2017-03-31,Y,229801.61,233117.61
PG,PG,PROCTER & GAMBL,6,Q,2016-12-31,Y,224997.52,229027.52
PG,PG,PROCTER & GAMBL,6,Q,2016-09-30,Y,240170.39,244168.39
PG,PG,PROCTER & GAMBL,6,Q,2016-06-30,Y,225379.02,232014.02
PG,PG,PROCTER & GAMBL,6,Q,2016-03-31,Y,219097.03,225455.03
PG,PG,PROCTER & GAMBL,6,Q,2015-12-31,Y,216040.73,220420.73
PG,PG,PROCTER & GAMBL,6,Q,2015-09-30,Y,195718.05,201573.05
PG,PG,PROCTER & GAMBL,6,Q,2015-06-30,Y,212264.81,220056.81
PG,PG,PROCTER & GAMBL,6,Q,2015-03-31,Y,222302.91,227592.91
